Address,Place,City,State,Phone,Zip,CountryCode,Country,Location,Latitude,Longitude,geometry
"['Street:  A 39 Jln Midah 5 Taman Midah', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  039131-0723', 'Zip code  56000', 'Country calling code  +60', 'Country  Malaysia']",A 39 Jln Midah 5 Taman Midah,Kuala Lumpur,Wilayah Persekutuan,039131-0723,56000,60,Malaysia,"A 39 Jln Midah 5 Taman Midah, Kuala Lumpur, Wilayah Persekutuan",3.100503,101.7328763,POINT (101.7328763 3.100503)
"['Street:  21 Jln 1 Kampung Pandan', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  039200-4974', 'Zip code  55100', 'Country calling code  +60', 'Country  Malaysia']",21 Jln 1 Kampung Pandan,Kuala Lumpur,Wilayah Persekutuan,039200-4974,55100,60,Malaysia,"21 Jln 1 Kampung Pandan, Kuala Lumpur, Wilayah Persekutuan",3.1435567,101.7363559,POINT (101.7363559 3.1435567)
"['Street:  A 20 Jalan Lumut', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  (603) 40429949', 'Zip code  50400', 'Country calling code  +60', 'Country  Malaysia']",A 20 Jalan Lumut,Kuala Lumpur,Wilayah Persekutuan,(603) 40429949,50400,60,Malaysia,"A 20 Jalan Lumut, Kuala Lumpur, Wilayah Persekutuan",3.1704825,101.696642,POINT (101.696642 3.1704825)
"['Street:  Taman Cheras Mas, Batu 8,', 'City:   Cheras', 'State/province/area:    Selangor', 'Phone number  +60 (0)3 9075-9899', 'Zip code  43200', 'Country calling code  +60', 'Country  Malaysia']","Taman Cheras Mas, Batu 8,",Cheras,Selangor,+60 (0)3 9075-9899,43200,60,Malaysia,"Taman Cheras Mas, Batu 8,, Cheras, Selangor",3.0825535,101.74702424082102,POINT (101.74702424082102 3.0825535)
"['Street:  286 Jln Tun Sambanthan', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  032274-2368', 'Zip code  50470', 'Country calling code  +60', 'Country  Malaysia']",286 Jln Tun Sambanthan,Kuala Lumpur,Wilayah Persekutuan,032274-2368,50470,60,Malaysia,"286 Jln Tun Sambanthan, Kuala Lumpur, Wilayah Persekutuan",3.1277079,101.6834451,POINT (101.6834451 3.1277079)
"['Street:  1 8 Jln 1/77B', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  032148-1165', 'Zip code  55100', 'Country calling code  +60', 'Country  Malaysia']",1 8 Jln 1/77B,Kuala Lumpur,Wilayah Persekutuan,032148-1165,55100,60,Malaysia,"1 8 Jln 1/77B, Kuala Lumpur, Wilayah Persekutuan",3.1432045,101.7113015,POINT (101.7113015 3.1432045)
"['Street:  No. 5053, Jalan New Ferry,', 'City:   Butterworth', 'State/province/area:    Pulau Pinang', 'Phone number  +60 (0)4 332-7468', 'Zip code  12100', 'Country calling code  +60', 'Country  Malaysia']","No. 5053, Jalan New Ferry,",Butterworth,Pulau Pinang,+60 (0)4 332-7468,12100,60,Malaysia,"No. 5053, Jalan New Ferry,, Butterworth, Pulau Pinang",5.396701,100.3674052,POINT (100.3674052 5.396701)
"['Street:  A 16 Jln Cungah Pelabuhan Pelabuhan', 'City:   Klang', 'State/province/area:    Selangor', 'Phone number  033167-0738', 'Zip code  42000', 'Country calling code  +60', 'Country  Malaysia']",A 16 Jln Cungah Pelabuhan Pelabuhan,Klang,Selangor,033167-0738,42000,60,Malaysia,"A 16 Jln Cungah Pelabuhan Pelabuhan, Klang, Selangor",3.0017086,101.3987772,POINT (101.3987772 3.0017086)
"['Street:  Jalan Sm 4, Sunway Batu Caves,', 'City:   Batu Caves', 'State/province/area:    Selangor', 'Phone number  +60 (0)3 6189-0923', 'Zip code  68100', 'Country calling code  +60', 'Country  Malaysia']","Jalan Sm 4, Sunway Batu Caves,",Batu Caves,Selangor,+60 (0)3 6189-0923,68100,60,Malaysia,"Jalan Sm 4, Sunway Batu Caves,, Batu Caves, Selangor",3.2366675,101.6916931,POINT (101.6916931 3.2366675)
"['Street:  Jalan Dagang Sb 4/2, Taman Sungai Besi Indah,', 'City:   Seri Kembangan', 'State/province/area:    Selangor', 'Phone number  +60 (0)3 4256-5764', 'Zip code  43300', 'Country calling code  +60', 'Country  Malaysia']","Jalan Dagang Sb 4/2, Taman Sungai Besi Indah,",Seri Kembangan,Selangor,+60 (0)3 4256-5764,43300,60,Malaysia,"Jalan Dagang Sb 4/2, Taman Sungai Besi Indah,, Seri Kembangan, Selangor",3.0242663,101.7162591,POINT (101.7162591 3.0242663)
"['Street:  A 24 Jln 21/11B Seksyen 21 Petaling Jaya', 'City:   Petaling Jaya', 'State/province/area:    Selangor', 'Phone number  037875-7932', 'Zip code  46300', 'Country calling code  +60', 'Country  Malaysia']",A 24 Jln 21/11B Seksyen 21 Petaling Jaya,Petaling Jaya,Selangor,037875-7932,46300,60,Malaysia,"A 24 Jln 21/11B Seksyen 21 Petaling Jaya, Petaling Jaya, Selangor",3.1148429,101.6298373,POINT (101.6298373 3.1148429)
"['Street:  No. 8 A Jln Batu Unjur 1 Taman Bayu Perdana', 'City:   Klang', 'State/province/area:    Selangor', 'Phone number  03323-3383', 'Zip code  41200', 'Country calling code  +60', 'Country  Malaysia']",No. 8 A Jln Batu Unjur 1 Taman Bayu Perdana,Klang,Selangor,03323-3383,41200,60,Malaysia,"No. 8 A Jln Batu Unjur 1 Taman Bayu Perdana, Klang, Selangor",3.0147764,101.4351661,POINT (101.4351661 3.0147764)
"['Street:  62A, Jalan Foo Eng Lin,', 'City:   Ipoh', 'State/province/area:    Perak', 'Phone number  +60 (0)5 242-9797', 'Zip code  31650', 'Country calling code  +60', 'Country  Malaysia']","62A, Jalan Foo Eng Lin,",Ipoh,Perak,+60 (0)5 242-9797,31650,60,Malaysia,"62A, Jalan Foo Eng Lin,, Ipoh, Perak",4.5837792,101.0855464,POINT (101.0855464 4.5837792)
"['Street:  G 71 Jln Persisiran Perling Taman Perling', 'City:   Johor Bahru', 'State/province/area:    Johor', 'Phone number  07236-2624', 'Zip code  81200', 'Country calling code  +60', 'Country  Malaysia']",G 71 Jln Persisiran Perling Taman Perling,Johor Bahru,Johor,07236-2624,81200,60,Malaysia,"G 71 Jln Persisiran Perling Taman Perling, Johor Bahru, Johor",1.4964047,103.6793821,POINT (103.6793821 1.4964047)
"['Street:  4 Jln 5/118C Desa Tun Razak', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  039173-6393', 'Zip code  56000', 'Country calling code  +60', 'Country  Malaysia']",4 Jln 5/118C Desa Tun Razak,Kuala Lumpur,Wilayah Persekutuan,039173-6393,56000,60,Malaysia,"4 Jln 5/118C Desa Tun Razak, Kuala Lumpur, Wilayah Persekutuan",3.0798823,101.7285583,POINT (101.7285583 3.0798823)
"['Street:  6Th Floor', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  03-21423341', 'Zip code  55100', 'Country calling code  +60', 'Country  Malaysia']",6Th Floor,Kuala Lumpur,Wilayah Persekutuan,03-21423341,55100,60,Malaysia,"6Th Floor, Kuala Lumpur, Wilayah Persekutuan",3.0797571,101.7032437,POINT (101.7032437 3.0797571)
"['Street:  6 Lot 180 Kampung Idaman Pelabuhan', 'City:   Klang', 'State/province/area:    Selangor', 'Phone number  (603) 55107676', 'Zip code  42000', 'Country calling code  +60', 'Country  Malaysia']",6 Lot 180 Kampung Idaman Pelabuhan,Klang,Selangor,(603) 55107676,42000,60,Malaysia,"6 Lot 180 Kampung Idaman Pelabuhan, Klang, Selangor",2.9930774,101.4223775,POINT (101.4223775 2.9930774)
"['Street:  No 7452 Jalan Kebun', 'City:   Klang', 'State/province/area:    Selangor', 'Phone number  (603) 51611077', 'Zip code  42450', 'Country calling code  +60', 'Country  Malaysia']",No 7452 Jalan Kebun,Klang,Selangor,(603) 51611077,42450,60,Malaysia,"No 7452 Jalan Kebun, Klang, Selangor",3.0280249,101.4790303,POINT (101.4790303 3.0280249)
"['Street:  113 Jalan Rosmerah 2/16 Taman Jaya', 'City:   Johor Bahru', 'State/province/area:    Johor', 'Phone number  (607) 3520074', 'Zip code  81100', 'Country calling code  +60', 'Country  Malaysia']",113 Jalan Rosmerah 2/16 Taman Jaya,Johor Bahru,Johor,(607) 3520074,81100,60,Malaysia,"113 Jalan Rosmerah 2/16 Taman Jaya, Johor Bahru, Johor",1.5366577,103.7922001,POINT (103.7922001 1.5366577)
"['Street:  Jalan Sungai Keramat 11, Taman Klang Utama Klang,', 'City:   Klang', 'State/province/area:    Selangor', 'Phone number  03-32911366', 'Zip code  42100', 'Country calling code  +60', 'Country  Malaysia']","Jalan Sungai Keramat 11, Taman Klang Utama Klang,",Klang,Selangor,03-32911366,42100,60,Malaysia,"Jalan Sungai Keramat 11, Taman Klang Utama Klang,, Klang, Selangor",3.0872183,101.4221469,POINT (101.4221469 3.0872183)
"['Street:  2390', 'City:   Tasek Gelugor', 'State/province/area:    Seberang Perai Utara', 'Phone number  04-573-1436', 'Zip code  13300', 'Country calling code  +60', 'Country  Malaysia']",2390,Tasek Gelugor,Seberang Perai Utara,04-573-1436,13300,60,Malaysia,"2390, Tasek Gelugor, Seberang Perai Utara",5.4844382,100.4901402,POINT (100.4901402 5.4844382)
"['Street:  No. 631 Jln Sentul Kuala Lumpur', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  60340422228', 'Zip code  51000', 'Country calling code  +60', 'Country  Malaysia']",No. 631 Jln Sentul Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan,60340422228,51000,60,Malaysia,"No. 631 Jln Sentul Kuala Lumpur, Kuala Lumpur, Wilayah Persekutuan",3.1814956,101.6918967,POINT (101.6918967 3.1814956)
"['Street:  9030 G Jln Wan Alwi Kuching', 'City:   Kuching', 'State/province/area:    Sarawak', 'Phone number  08236-9249', 'Zip code  93350', 'Country calling code  +60', 'Country  Malaysia']",9030 G Jln Wan Alwi Kuching,Kuching,Sarawak,08236-9249,93350,60,Malaysia,"9030 G Jln Wan Alwi Kuching, Kuching, Sarawak",1.521977,110.380545,POINT (110.380545 1.521977)
"['Street:  30-2 Jalan Prima Setapak 1 Prima Setapak Business Setapak', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  (603) 40219116', 'Zip code  53300', 'Country calling code  +60', 'Country  Malaysia']",30-2 Jalan Prima Setapak 1 Prima Setapak Business Setapak,Kuala Lumpur,Wilayah Persekutuan,(603) 40219116,53300,60,Malaysia,"30-2 Jalan Prima Setapak 1 Prima Setapak Business Setapak, Kuala Lumpur, Wilayah Persekutuan",3.197564,101.7128968,POINT (101.7128968 3.197564)
"['Street:  52 Jln Persisiran Perling Taman Perling', 'City:   Johor Bahru', 'State/province/area:    Johor', 'Phone number  07238-2249', 'Zip code  81200', 'Country calling code  +60', 'Country  Malaysia']",52 Jln Persisiran Perling Taman Perling,Johor Bahru,Johor,07238-2249,81200,60,Malaysia,"52 Jln Persisiran Perling Taman Perling, Johor Bahru, Johor",1.4964047,103.6793821,POINT (103.6793821 1.4964047)
"['Street:  3 112 Jln Tun Sambanthan', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  032260-5093', 'Zip code  50470', 'Country calling code  +60', 'Country  Malaysia']",3 112 Jln Tun Sambanthan,Kuala Lumpur,Wilayah Persekutuan,032260-5093,50470,60,Malaysia,"3 112 Jln Tun Sambanthan, Kuala Lumpur, Wilayah Persekutuan",3.1277079,101.6834451,POINT (101.6834451 3.1277079)
"['Street:  No. 36 Jln Pasar', 'City:   Ipoh', 'State/province/area:    Perak', 'Phone number  05254-0982', 'Zip code  30000', 'Country calling code  +60', 'Country  Malaysia']",No. 36 Jln Pasar,Ipoh,Perak,05254-0982,30000,60,Malaysia,"No. 36 Jln Pasar, Ipoh, Perak",4.6182159,101.110409,POINT (101.110409 4.6182159)
"['Street:  205 JLN TUJUH TAMAN JAYA', 'City:   Kajang', 'State/province/area:    Selangor', 'Phone number  038736-0880', 'Zip code  43000', 'Country calling code  +60', 'Country  Malaysia']",205 JLN TUJUH TAMAN JAYA,Kajang,Selangor,038736-0880,43000,60,Malaysia,"205 JLN TUJUH TAMAN JAYA, Kajang, Selangor",2.9708553,101.7843017,POINT (101.7843017 2.9708553)
"['Street:  Jalan Kilang, Kolombong,', 'City:   Kota Kinabalu', 'State/province/area:    Sabah', 'Phone number  +60 (0)88 438989', 'Zip code  88450', 'Country calling code  +60', 'Country  Malaysia']","Jalan Kilang, Kolombong,",Kota Kinabalu,Sabah,+60 (0)88 438989,88450,60,Malaysia,"Jalan Kilang, Kolombong,, Kota Kinabalu, Sabah",5.9809246,116.1171003,POINT (116.1171003 5.9809246)
"['Street:  215 Jln Selingsing 7', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  036252-7430', 'Zip code  51200', 'Country calling code  +60', 'Country  Malaysia']",215 Jln Selingsing 7,Kuala Lumpur,Wilayah Persekutuan,036252-7430,51200,60,Malaysia,"215 Jln Selingsing 7, Kuala Lumpur, Wilayah Persekutuan",3.19359,101.6699612,POINT (101.6699612 3.19359)
"['Street:  2 32 Jln Sri Perkasa 2/22 Taman Tampoi Utama', 'City:   Johor Bahru', 'State/province/area:    Johor', 'Phone number  07241-4838', 'Zip code  81200', 'Country calling code  +60', 'Country  Malaysia']",2 32 Jln Sri Perkasa 2/22 Taman Tampoi Utama,Johor Bahru,Johor,07241-4838,81200,60,Malaysia,"2 32 Jln Sri Perkasa 2/22 Taman Tampoi Utama, Johor Bahru, Johor",1.5024391,103.6851483,POINT (103.6851483 1.5024391)
"['Street:  145 Persiaran Raja Muda Musa Port Pelabuhan', 'City:   Klang', 'State/province/area:    Selangor', 'Phone number  033168-4164', 'Zip code  42000', 'Country calling code  +60', 'Country  Malaysia']",145 Persiaran Raja Muda Musa Port Pelabuhan,Klang,Selangor,033168-4164,42000,60,Malaysia,"145 Persiaran Raja Muda Musa Port Pelabuhan, Klang, Selangor",3.0022821,101.3981867,POINT (101.3981867 3.0022821)
"['Street:  Jalan Bukit Kempas 4/16, Taman Bukit Kempas,', 'City:   Johor Bahru', 'State/province/area:    Johor', 'Phone number  +60 (0)7 226-5647', 'Zip code  81200', 'Country calling code  +60', 'Country  Malaysia']","Jalan Bukit Kempas 4/16, Taman Bukit Kempas,",Johor Bahru,Johor,+60 (0)7 226-5647,81200,60,Malaysia,"Jalan Bukit Kempas 4/16, Taman Bukit Kempas,, Johor Bahru, Johor",1.5395832,103.7009949,POINT (103.7009949 1.5395832)
"['Street:  No. 5 A Jln 14/20 Seksyen 14 Petaling Jaya', 'City:   Petaling Jaya', 'State/province/area:    Selangor', 'Phone number  60379564262', 'Zip code  46100', 'Country calling code  +60', 'Country  Malaysia']",No. 5 A Jln 14/20 Seksyen 14 Petaling Jaya,Petaling Jaya,Selangor,60379564262,46100,60,Malaysia,"No. 5 A Jln 14/20 Seksyen 14 Petaling Jaya, Petaling Jaya, Selangor",3.1110856,101.6347427,POINT (101.6347427 3.1110856)
"['Street:  No. 24 Jln 21/11B Seksyen 21', 'City:   Petaling Jaya', 'State/province/area:    Selangor', 'Phone number  037876-1323', 'Zip code  46300', 'Country calling code  +60', 'Country  Malaysia']",No. 24 Jln 21/11B Seksyen 21,Petaling Jaya,Selangor,037876-1323,46300,60,Malaysia,"No. 24 Jln 21/11B Seksyen 21, Petaling Jaya, Selangor",3.109805,101.6221613,POINT (101.6221613 3.109805)
"['Street:  SH 9 JLN MALAWALI TAMAN SETAPAK', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  034023-8684', 'Zip code  53000', 'Country calling code  +60', 'Country  Malaysia']",SH 9 JLN MALAWALI TAMAN SETAPAK,Kuala Lumpur,Wilayah Persekutuan,034023-8684,53000,60,Malaysia,"SH 9 JLN MALAWALI TAMAN SETAPAK, Kuala Lumpur, Wilayah Persekutuan",3.2054577,101.7071782,POINT (101.7071782 3.2054577)
"['Street:  28 Jln Molek 2/38 Taman Molek', 'City:   Johor Bahru', 'State/province/area:    Johor', 'Phone number  07355-0044', 'Zip code  81100', 'Country calling code  +60', 'Country  Malaysia']",28 Jln Molek 2/38 Taman Molek,Johor Bahru,Johor,07355-0044,81100,60,Malaysia,"28 Jln Molek 2/38 Taman Molek, Johor Bahru, Johor",1.520681,103.7914182,POINT (103.7914182 1.520681)
"['Street:  1st Floor, Jln Kuchai Maju 8, Kuala Lumpur', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  03-7984 8352', 'Zip code  58200', 'Country calling code  +60', 'Country  Malaysia']","1st Floor, Jln Kuchai Maju 8, Kuala Lumpur",Kuala Lumpur,Wilayah Persekutuan,03-7984 8352,58200,60,Malaysia,"1st Floor, Jln Kuchai Maju 8, Kuala Lumpur, Kuala Lumpur, Wilayah Persekutuan",3.0899799,101.687949,POINT (101.687949 3.0899799)
"['Street:  No. 75 Jln Tun Ismail Kuantan', 'City:   Kuantan', 'State/province/area:    Pahang', 'Phone number  6095157098', 'Zip code  25000', 'Country calling code  +60', 'Country  Malaysia']",No. 75 Jln Tun Ismail Kuantan,Kuantan,Pahang,6095157098,25000,60,Malaysia,"No. 75 Jln Tun Ismail Kuantan, Kuantan, Pahang",3.8168677,103.3317573,POINT (103.3317573 3.8168677)
"['Street:  27 Jln Seksyen 1/26 Taman Utama', 'City:   Kajang', 'State/province/area:    Selangor', 'Phone number  603-87392887', 'Zip code  43000', 'Country calling code  +60', 'Country  Malaysia']",27 Jln Seksyen 1/26 Taman Utama,Kajang,Selangor,603-87392887,43000,60,Malaysia,"27 Jln Seksyen 1/26 Taman Utama, Kajang, Selangor",2.9737119,101.7920124,POINT (101.7920124 2.9737119)
"['Street:  19 Jalan Sungai Keramat 7A Taman Klang Utama', 'City:   Klang', 'State/province/area:    Selangor', 'Phone number  60332914776', 'Zip code  42100', 'Country calling code  +60', 'Country  Malaysia']",19 Jalan Sungai Keramat 7A Taman Klang Utama,Klang,Selangor,60332914776,42100,60,Malaysia,"19 Jalan Sungai Keramat 7A Taman Klang Utama, Klang, Selangor",3.0857628,101.4163278,POINT (101.4163278 3.0857628)
"['Street:  6-2 Jalan 1/64', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  (603) 40419213', 'Zip code  51200', 'Country calling code  +60', 'Country  Malaysia']",6-2 Jalan 1/64,Kuala Lumpur,Wilayah Persekutuan,(603) 40419213,51200,60,Malaysia,"6-2 Jalan 1/64, Kuala Lumpur, Wilayah Persekutuan",3.1726367,101.6909075,POINT (101.6909075 3.1726367)
"['Street:  23 Jln Bandar Baru Tambun 1 Bandar Baru Tambun', 'City:   Ipoh', 'State/province/area:    Perak', 'Phone number  05548-2690', 'Zip code  31400', 'Country calling code  +60', 'Country  Malaysia']",23 Jln Bandar Baru Tambun 1 Bandar Baru Tambun,Ipoh,Perak,05548-2690,31400,60,Malaysia,"23 Jln Bandar Baru Tambun 1 Bandar Baru Tambun, Ipoh, Perak",4.6160007,101.1447206,POINT (101.1447206 4.6160007)
"['Street:  B 12 Jln Kancil', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  032312-3531', 'Zip code  55100', 'Country calling code  +60', 'Country  Malaysia']",B 12 Jln Kancil,Kuala Lumpur,Wilayah Persekutuan,032312-3531,55100,60,Malaysia,"B 12 Jln Kancil, Kuala Lumpur, Wilayah Persekutuan",3.1359761,101.7126367,POINT (101.7126367 3.1359761)
"['Street:  No. 1 Jln Tun Sambanthan 1', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  032274-1552', 'Zip code  50470', 'Country calling code  +60', 'Country  Malaysia']",No. 1 Jln Tun Sambanthan 1,Kuala Lumpur,Wilayah Persekutuan,032274-1552,50470,60,Malaysia,"No. 1 Jln Tun Sambanthan 1, Kuala Lumpur, Wilayah Persekutuan",3.127239,101.6829937,POINT (101.6829937 3.127239)
"['Street:  No. 30 A Jln Lumut', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  034042-5134', 'Zip code  50400', 'Country calling code  +60', 'Country  Malaysia']",No. 30 A Jln Lumut,Kuala Lumpur,Wilayah Persekutuan,034042-5134,50400,60,Malaysia,"No. 30 A Jln Lumut, Kuala Lumpur, Wilayah Persekutuan",3.1704825,101.696642,POINT (101.696642 3.1704825)
"['Street:  Jalan Firma 2, Kawasan Perindustrian Tebrau,', 'City:   Johor Bahru', 'State/province/area:    Johor', 'Phone number  6073543348', 'Zip code  81100', 'Country calling code  +60', 'Country  Malaysia']","Jalan Firma 2, Kawasan Perindustrian Tebrau,",Johor Bahru,Johor,6073543348,81100,60,Malaysia,"Jalan Firma 2, Kawasan Perindustrian Tebrau,, Johor Bahru, Johor",1.533511,103.7458859,POINT (103.7458859 1.533511)
"['Street:  216 Jln Patinggan Kuching', 'City:   Kuching', 'State/province/area:    Sarawak', 'Phone number  08241-5567', 'Zip code  93400', 'Country calling code  +60', 'Country  Malaysia']",216 Jln Patinggan Kuching,Kuching,Sarawak,08241-5567,93400,60,Malaysia,"216 Jln Patinggan Kuching, Kuching, Sarawak",1.5608024,110.329311,POINT (110.329311 1.5608024)
"['Street:  354 Jln Tok Ungku', 'City:   Seremban', 'State/province/area:    Negeri Sembilan', 'Phone number  40631-0440', 'Zip code  70100', 'Country calling code  +60', 'Country  Malaysia']",354 Jln Tok Ungku,Seremban,Negeri Sembilan,40631-0440,70100,60,Malaysia,"354 Jln Tok Ungku, Seremban, Negeri Sembilan",2.6947542,101.9451573,POINT (101.9451573 2.6947542)
"['Street:  25, jalan ros merah 2/3 taman johor jaya,', 'City:   Johor Bahru', 'State/province/area:    Johor', 'Phone number  607 355 6582', 'Zip code  81100', 'Country calling code  +60', 'Country  Malaysia']","25, jalan ros merah 2/3 taman johor jaya,",Johor Bahru,Johor,607 355 6582,81100,60,Malaysia,"25, jalan ros merah 2/3 taman johor jaya,, Johor Bahru, Johor",1.5356103,103.7924044,POINT (103.7924044 1.5356103)
"['Street:  No. 28 Jln Pasar', 'City:   Ipoh', 'State/province/area:    Perak', 'Phone number  05241-9671', 'Zip code  30000', 'Country calling code  +60', 'Country  Malaysia']",No. 28 Jln Pasar,Ipoh,Perak,05241-9671,30000,60,Malaysia,"No. 28 Jln Pasar, Ipoh, Perak",4.6182159,101.110409,POINT (101.110409 4.6182159)
"['Street:  Pulau Redang', 'City:   Kuala Terengganu', 'State/province/area:    Terengganu', 'Phone number  6096975353', 'Zip code  20928', 'Country calling code  +60', 'Country  Malaysia']",Pulau Redang,Kuala Terengganu,Terengganu,6096975353,20928,60,Malaysia,"Pulau Redang, Kuala Terengganu, Terengganu",5.78341625,103.01407561560251,POINT (103.01407561560251 5.78341625)
"['Street:  77, Kampung Cherating Lama,', 'City:   Kuantan', 'State/province/area:    Pahang', 'Phone number  6095819342', 'Zip code  26080', 'Country calling code  +60', 'Country  Malaysia']","77, Kampung Cherating Lama,",Kuantan,Pahang,6095819342,26080,60,Malaysia,"77, Kampung Cherating Lama,, Kuantan, Pahang",4.1275903,103.3976132,POINT (103.3976132 4.1275903)
