Address,Place,City,State,Phone,Zip,CountryCode,Country,Location
"['Street:  Jalan Tropicana Selatan 1, Pju 3,', 'City:   Petaling Jaya', 'State/province/area:    Selangor', 'Phone number  +60 (0)3 7710-8159', 'Zip code  47410', 'Country calling code  +60', 'Country  Malaysia']","Jalan Tropicana Selatan 1, Pju 3,",Petaling Jaya,Selangor,+60 (0)3 7710-8159,47410,+60,Malaysia,"Jalan Tropicana Selatan 1, Pju 3,, Petaling Jaya, Selangor"
"['Street:  - no 63gf jalan metro perdana barat 1, taman usahawan kepong,', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  173068068', 'Zip code  52100', 'Country calling code  +60', 'Country  Malaysia']","- no 63gf jalan metro perdana barat 1, taman usahawan kepong,",Kuala Lumpur,Wilayah Persekutuan,173068068,52100,+60,Malaysia,"- no 63gf jalan metro perdana barat 1, taman usahawan kepong,, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  20 Lorong Pokok Sakat', 'City:   Klang', 'State/province/area:    Selangor', 'Phone number  (603) 2336872', 'Zip code  41100', 'Country calling code  +60', 'Country  Malaysia']",20 Lorong Pokok Sakat,Klang,Selangor,(603) 2336872,41100,+60,Malaysia,"20 Lorong Pokok Sakat, Klang, Selangor"
"['Street:  No. 22 Ground Floor Lrg Desa Dahlia 1/8 Taman Desa Dahlia 7045', 'City:   Seremban', 'State/province/area:    Negeri Sembilan', 'Phone number  06678-5917', 'Zip code  70450', 'Country calling code  +60', 'Country  Malaysia']",No. 22 Ground Floor Lrg Desa Dahlia 1/8 Taman Desa Dahlia 7045,Seremban,Negeri Sembilan,06678-5917,70450,+60,Malaysia,"No. 22 Ground Floor Lrg Desa Dahlia 1/8 Taman Desa Dahlia 7045, Seremban, Negeri Sembilan"
"['Street:  38 JLN PJS 11/3 TAMAN BANDAR SUNWAY Petaling Jaya', 'City:   Petaling Jaya', 'State/province/area:    Selangor', 'Phone number  070632-1170', 'Zip code  46150', 'Country calling code  +60', 'Country  Malaysia']",38 JLN PJS 11/3 TAMAN BANDAR SUNWAY Petaling Jaya,Petaling Jaya,Selangor,070632-1170,46150,+60,Malaysia,"38 JLN PJS 11/3 TAMAN BANDAR SUNWAY Petaling Jaya, Petaling Jaya, Selangor"
"['Street:  Jalan Kangar-alor Star, Behor Temak,', 'City:   Kangar', 'State/province/area:    Perlis', 'Phone number  +60 (0)4 977-6967', 'Zip code  01000', 'Country calling code  +60', 'Country  Malaysia']","Jalan Kangar-alor Star, Behor Temak,",Kangar,Perlis,+60 (0)4 977-6967,01000,+60,Malaysia,"Jalan Kangar-alor Star, Behor Temak,, Kangar, Perlis"
"['Street:  161 JLN PERISAI TAMAN SRI TEBRAU', 'City:   Johor Bahru', 'State/province/area:    Johor', 'Phone number  07331-7254', 'Zip code  80050', 'Country calling code  +60', 'Country  Malaysia']",161 JLN PERISAI TAMAN SRI TEBRAU,Johor Bahru,Johor,07331-7254,80050,+60,Malaysia,"161 JLN PERISAI TAMAN SRI TEBRAU, Johor Bahru, Johor"
"['Street:  12 2/F Jalan Telawi Tiga Bangsar Baru', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  (603) 22842823', 'Zip code  59000', 'Country calling code  +60', 'Country  Malaysia']",12 2/F Jalan Telawi Tiga Bangsar Baru,Kuala Lumpur,Wilayah Persekutuan,(603) 22842823,59000,+60,Malaysia,"12 2/F Jalan Telawi Tiga Bangsar Baru, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  A 134 Hla Wah Keong Taman Mirindy', 'City:   Ipoh', 'State/province/area:    Perak', 'Phone number  05545-5544', 'Zip code  31400', 'Country calling code  +60', 'Country  Malaysia']",A 134 Hla Wah Keong Taman Mirindy,Ipoh,Perak,05545-5544,31400,+60,Malaysia,"A 134 Hla Wah Keong Taman Mirindy, Ipoh, Perak"
"['Street:  15 Psn Industri Rapat 1 Kaw Industri Ringan Seri Rapat Malays', 'City:   Ipoh', 'State/province/area:    Perak', 'Phone number  05313-1355', 'Zip code  31350', 'Country calling code  +60', 'Country  Malaysia']",15 Psn Industri Rapat 1 Kaw Industri Ringan Seri Rapat Malays,Ipoh,Perak,05313-1355,31350,+60,Malaysia,"15 Psn Industri Rapat 1 Kaw Industri Ringan Seri Rapat Malays, Ipoh, Perak"
"['Street:  1 129A Jln Sultan Abdul Samad', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  032272-5981', 'Zip code  50470', 'Country calling code  +60', 'Country  Malaysia']",1 129A Jln Sultan Abdul Samad,Kuala Lumpur,Wilayah Persekutuan,032272-5981,50470,+60,Malaysia,"1 129A Jln Sultan Abdul Samad, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  1 64B Jln Sultan Yussuf', 'City:   Ipoh', 'State/province/area:    Perak', 'Phone number  05253-6384', 'Zip code  30000', 'Country calling code  +60', 'Country  Malaysia']",1 64B Jln Sultan Yussuf,Ipoh,Perak,05253-6384,30000,+60,Malaysia,"1 64B Jln Sultan Yussuf, Ipoh, Perak"
"['Street:  53 Jalan Pengasah 4', 'City:   Klang', 'State/province/area:    Selangor', 'Phone number  (603) 32911765', 'Zip code  41400', 'Country calling code  +60', 'Country  Malaysia']",53 Jalan Pengasah 4,Klang,Selangor,(603) 32911765,41400,+60,Malaysia,"53 Jalan Pengasah 4, Klang, Selangor"
"['Street:  605 Mukim Damansara Petaling Jaya', 'City:   Petaling Jaya', 'State/province/area:    Selangor', 'Phone number  035637-4477', 'Zip code  47500', 'Country calling code  +60', 'Country  Malaysia']",605 Mukim Damansara Petaling Jaya,Petaling Jaya,Selangor,035637-4477,47500,+60,Malaysia,"605 Mukim Damansara Petaling Jaya, Petaling Jaya, Selangor"
"['Street:  Fasa 3, Taman Maju Jaya,', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  03-9283-4587', 'Zip code  56100', 'Country calling code  +60', 'Country  Malaysia']","Fasa 3, Taman Maju Jaya,",Kuala Lumpur,Wilayah Persekutuan,03-9283-4587,56100,+60,Malaysia,"Fasa 3, Taman Maju Jaya,, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  2/2, Taman Intan,', 'City:   Kluang', 'State/province/area:    Johor', 'Phone number  6077711055', 'Zip code  86000', 'Country calling code  +60', 'Country  Malaysia']","2/2, Taman Intan,",Kluang,Johor,6077711055,86000,+60,Malaysia,"2/2, Taman Intan,, Kluang, Johor"
"[""Street:  2 5Th Floor Plaza Mont'Kiara Blok C Jln 1/70C 50200"", 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  036201-7459', 'Zip code  50480', 'Country calling code  +60', 'Country  Malaysia']",2 5Th Floor Plaza Mont'Kiara Blok C Jln 1/70C 50200,Kuala Lumpur,Wilayah Persekutuan,036201-7459,50480,+60,Malaysia,"2 5Th Floor Plaza Mont'Kiara Blok C Jln 1/70C 50200, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  57 Jln Mutiara Emas 5/14 Taman Mount Austin', 'City:   Johor Bahru', 'State/province/area:    Johor', 'Phone number  07358-1793', 'Zip code  81100', 'Country calling code  +60', 'Country  Malaysia']",57 Jln Mutiara Emas 5/14 Taman Mount Austin,Johor Bahru,Johor,07358-1793,81100,+60,Malaysia,"57 Jln Mutiara Emas 5/14 Taman Mount Austin, Johor Bahru, Johor"
"['Street:  60 Ground Floor Plaza Damas Jalan Sri Hartamas 1', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  (603) 62031345', 'Zip code  50480', 'Country calling code  +60', 'Country  Malaysia']",60 Ground Floor Plaza Damas Jalan Sri Hartamas 1,Kuala Lumpur,Wilayah Persekutuan,(603) 62031345,50480,+60,Malaysia,"60 Ground Floor Plaza Damas Jalan Sri Hartamas 1, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  Batu 4, Kampung Jawa,', 'City:   Klang', 'State/province/area:    Selangor', 'Phone number  03-5161-8438', 'Zip code  41000', 'Country calling code  +60', 'Country  Malaysia']","Batu 4, Kampung Jawa,",Klang,Selangor,03-5161-8438,41000,+60,Malaysia,"Batu 4, Kampung Jawa,, Klang, Selangor"
"['Street:  No. 225 Jalan 18/23, Taman Sri Serdang,', 'City:   Seri Kembangan', 'State/province/area:    Selangor', 'Phone number  +60 (0)3 8943-2298', 'Zip code  43300', 'Country calling code  +60', 'Country  Malaysia']","No. 225 Jalan 18/23, Taman Sri Serdang,",Seri Kembangan,Selangor,+60 (0)3 8943-2298,43300,+60,Malaysia,"No. 225 Jalan 18/23, Taman Sri Serdang,, Seri Kembangan, Selangor"
"['Street:  1-04-09 & 1-04-10 E-gate, Lebuh Tunku Kudin 2,', 'City:   Gelugor', 'State/province/area:    Pulau Pinang', 'Phone number  +60 (0)4 657-7758', 'Zip code  11700', 'Country calling code  +60', 'Country  Malaysia']","1-04-09 & 1-04-10 E-gate, Lebuh Tunku Kudin 2,",Gelugor,Pulau Pinang,+60 (0)4 657-7758,11700,+60,Malaysia,"1-04-09 & 1-04-10 E-gate, Lebuh Tunku Kudin 2,, Gelugor, Pulau Pinang"
"['Street:  2 26 Jln Au1A/4C Taman Keramat Permai', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  034252-2598', 'Zip code  54200', 'Country calling code  +60', 'Country  Malaysia']",2 26 Jln Au1A/4C Taman Keramat Permai,Kuala Lumpur,Wilayah Persekutuan,034252-2598,54200,+60,Malaysia,"2 26 Jln Au1A/4C Taman Keramat Permai, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  1-1-12 1St Floor Block 1 Api Api Centre Lorong Api Api 2 Jalan Centre Point', 'City:   Kota Kinabalu', 'State/province/area:    Sabah', 'Phone number  6088222868', 'Zip code  88000', 'Country calling code  +60', 'Country  Malaysia']",1-1-12 1St Floor Block 1 Api Api Centre Lorong Api Api 2 Jalan Centre Point,Kota Kinabalu,Sabah,6088222868,88000,+60,Malaysia,"1-1-12 1St Floor Block 1 Api Api Centre Lorong Api Api 2 Jalan Centre Point, Kota Kinabalu, Sabah"
"['Street:  No. 67 5Th Floor Bangunan Ann Koai Jln Ampang', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  032078-7896', 'Zip code  50450', 'Country calling code  +60', 'Country  Malaysia']",No. 67 5Th Floor Bangunan Ann Koai Jln Ampang,Kuala Lumpur,Wilayah Persekutuan,032078-7896,50450,+60,Malaysia,"No. 67 5Th Floor Bangunan Ann Koai Jln Ampang, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  4 10 Jln 1/82B Bangsar Utama', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  032867-6286', 'Zip code  59000', 'Country calling code  +60', 'Country  Malaysia']",4 10 Jln 1/82B Bangsar Utama,Kuala Lumpur,Wilayah Persekutuan,032867-6286,59000,+60,Malaysia,"4 10 Jln 1/82B Bangsar Utama, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  No. 535 Jln Persisiran Perling 1 Taman Perling', 'City:   Johor Bahru', 'State/province/area:    Johor', 'Phone number  07232-0743', 'Zip code  81200', 'Country calling code  +60', 'Country  Malaysia']",No. 535 Jln Persisiran Perling 1 Taman Perling,Johor Bahru,Johor,07232-0743,81200,+60,Malaysia,"No. 535 Jln Persisiran Perling 1 Taman Perling, Johor Bahru, Johor"
"['Street:  Jalan Emas SD5/1B, Bandar Sri Damansara,', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  03-6275-6675', 'Zip code  52200', 'Country calling code  +60', 'Country  Malaysia']","Jalan Emas SD5/1B, Bandar Sri Damansara,",Kuala Lumpur,Wilayah Persekutuan,03-6275-6675,52200,+60,Malaysia,"Jalan Emas SD5/1B, Bandar Sri Damansara,, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  No. 64 Jln Besar', 'City:   Kajang', 'State/province/area:    Selangor', 'Phone number  038736-4203', 'Zip code  43000', 'Country calling code  +60', 'Country  Malaysia']",No. 64 Jln Besar,Kajang,Selangor,038736-4203,43000,+60,Malaysia,"No. 64 Jln Besar, Kajang, Selangor"
"['Street:  Jalan Gelugor, Off Jalan Kenanga,', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  03-9221-2051', 'Zip code  55200', 'Country calling code  +60', 'Country  Malaysia']","Jalan Gelugor, Off Jalan Kenanga,",Kuala Lumpur,Wilayah Persekutuan,03-9221-2051,55200,+60,Malaysia,"Jalan Gelugor, Off Jalan Kenanga,, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  981 Jln Hulu Batu 7 1/2 Hulu Ampang', 'City:   Klang', 'State/province/area:    Selangor', 'Phone number  034106-9314', 'Zip code  68000', 'Country calling code  +60', 'Country  Malaysia']",981 Jln Hulu Batu 7 1/2 Hulu Ampang,Klang,Selangor,034106-9314,68000,+60,Malaysia,"981 Jln Hulu Batu 7 1/2 Hulu Ampang, Klang, Selangor"
"['Street:  Lot 305, 3Rd. Kom. Karamunsing,', 'City:   Kota Kinabalu', 'State/province/area:    Sabah', 'Phone number  +60 (0)3 7955-1156', 'Zip code  88000', 'Country calling code  +60', 'Country  Malaysia']","Lot 305, 3Rd. Kom. Karamunsing,",Kota Kinabalu,Sabah,+60 (0)3 7955-1156,88000,+60,Malaysia,"Lot 305, 3Rd. Kom. Karamunsing,, Kota Kinabalu, Sabah"
"['Street:  2 Jalan 2/62 Taman Bandar Menjalara Kepong', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  (603) 61377066', 'Zip code  52100', 'Country calling code  +60', 'Country  Malaysia']",2 Jalan 2/62 Taman Bandar Menjalara Kepong,Kuala Lumpur,Wilayah Persekutuan,(603) 61377066,52100,+60,Malaysia,"2 Jalan 2/62 Taman Bandar Menjalara Kepong, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  G Hui Sing Gdn Commercial Centre 156 Lrg Taman Hui Sing 3 Taman Hui Sing Kuching', 'City:   Kuching', 'State/province/area:    Sarawak', 'Phone number  08257-7147', 'Zip code  93350', 'Country calling code  +60', 'Country  Malaysia']",G Hui Sing Gdn Commercial Centre 156 Lrg Taman Hui Sing 3 Taman Hui Sing Kuching,Kuching,Sarawak,08257-7147,93350,+60,Malaysia,"G Hui Sing Gdn Commercial Centre 156 Lrg Taman Hui Sing 3 Taman Hui Sing Kuching, Kuching, Sarawak"
"['Street:  No. 118 Taman Ast Batu Satu Jalan Labu', 'City:   Seremban', 'State/province/area:    Negeri Sembilan', 'Phone number  06762-9396', 'Zip code  70200', 'Country calling code  +60', 'Country  Malaysia']",No. 118 Taman Ast Batu Satu Jalan Labu,Seremban,Negeri Sembilan,06762-9396,70200,+60,Malaysia,"No. 118 Taman Ast Batu Satu Jalan Labu, Seremban, Negeri Sembilan"
"['Street:  Jalan Haji Taha', 'City:   Kuching', 'State/province/area:    Sarawak', 'Phone number  6082241265', 'Zip code  93400', 'Country calling code  +60', 'Country  Malaysia']",Jalan Haji Taha,Kuching,Sarawak,6082241265,93400,+60,Malaysia,"Jalan Haji Taha, Kuching, Sarawak"
"['Street:  2 Wisma Peladang Jln Bukit Bintang', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  032145-0942', 'Zip code  55100', 'Country calling code  +60', 'Country  Malaysia']",2 Wisma Peladang Jln Bukit Bintang,Kuala Lumpur,Wilayah Persekutuan,032145-0942,55100,+60,Malaysia,"2 Wisma Peladang Jln Bukit Bintang, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  Jalan Midah 7, Taman Midah,', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  03-91306921', 'Zip code  56000', 'Country calling code  +60', 'Country  Malaysia']","Jalan Midah 7, Taman Midah,",Kuala Lumpur,Wilayah Persekutuan,03-91306921,56000,+60,Malaysia,"Jalan Midah 7, Taman Midah,, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  26 1st Floor Jalan AU 1A/4C Taman Keramat Permai', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  (603) 42517249', 'Zip code  54200', 'Country calling code  +60', 'Country  Malaysia']",26 1st Floor Jalan AU 1A/4C Taman Keramat Permai,Kuala Lumpur,Wilayah Persekutuan,(603) 42517249,54200,+60,Malaysia,"26 1st Floor Jalan AU 1A/4C Taman Keramat Permai, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  Kampung Sungai Tua, Batu 9 Off Jalan Ulu Yam, 68100', 'City:   Batu Caves', 'State/province/area:    Selangor', 'Phone number  +60 (0)3 6131-1857', 'Zip code  46107', 'Country calling code  +60', 'Country  Malaysia']","Kampung Sungai Tua, Batu 9 Off Jalan Ulu Yam, 68100",Batu Caves,Selangor,+60 (0)3 6131-1857,46107,+60,Malaysia,"Kampung Sungai Tua, Batu 9 Off Jalan Ulu Yam, 68100, Batu Caves, Selangor"
"['Street:  A, Jln Usj 1/20, Subang Jaya', 'City:   Subang Jaya', 'State/province/area:    Selangor', 'Phone number  03-5637 5141', 'Zip code  47600', 'Country calling code  +60', 'Country  Malaysia']","A, Jln Usj 1/20, Subang Jaya",Subang Jaya,Selangor,03-5637 5141,47600,+60,Malaysia,"A, Jln Usj 1/20, Subang Jaya, Subang Jaya, Selangor"
"['Street:  lebuhraya puchong sg.besi, kuala lumpur,', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  0389923640', 'Zip code  43300', 'Country calling code  +60', 'Country  Malaysia']","lebuhraya puchong sg.besi, kuala lumpur,",Kuala Lumpur,Wilayah Persekutuan,0389923640,43300,+60,Malaysia,"lebuhraya puchong sg.besi, kuala lumpur,, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  Suite 31 1 31St Floor Wisma Uoa Ii No. 21 Jalan Pinang Mala', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  032164-5138', 'Zip code  50450', 'Country calling code  +60', 'Country  Malaysia']",Suite 31 1 31St Floor Wisma Uoa Ii No. 21 Jalan Pinang Mala,Kuala Lumpur,Wilayah Persekutuan,032164-5138,50450,+60,Malaysia,"Suite 31 1 31St Floor Wisma Uoa Ii No. 21 Jalan Pinang Mala, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  No. 63 Jln Leong Sin Nam Ipoh', 'City:   Ipoh', 'State/province/area:    Perak', 'Phone number  6052410074', 'Zip code  30300', 'Country calling code  +60', 'Country  Malaysia']",No. 63 Jln Leong Sin Nam Ipoh,Ipoh,Perak,6052410074,30300,+60,Malaysia,"No. 63 Jln Leong Sin Nam Ipoh, Ipoh, Perak"
"['Street:  P.O. Box GPO', 'City:  Wp', 'State/province/area:    Kuala Lumpur', 'Phone number  60163494782', 'Zip code  12481', 'Country calling code  +60', 'Country  Malaysia']",P.O. Box GPO,City:  Wp,Kuala Lumpur,60163494782,12481,+60,Malaysia,"P.O. Box GPO, City:  Wp, Kuala Lumpur"
"['Street:  C 116 Jln Tuanku Abdul Rahman', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  032698-4466', 'Zip code  50100', 'Country calling code  +60', 'Country  Malaysia']",C 116 Jln Tuanku Abdul Rahman,Kuala Lumpur,Wilayah Persekutuan,032698-4466,50100,+60,Malaysia,"C 116 Jln Tuanku Abdul Rahman, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  Jalan Dato Hj Ahmad Badawi, Taman Seri Indah,', 'City:   Kepala Batas', 'State/province/area:    Pulau Pinang', 'Phone number  +60 (0)4 574-8383', 'Zip code  13200', 'Country calling code  +60', 'Country  Malaysia']","Jalan Dato Hj Ahmad Badawi, Taman Seri Indah,",Kepala Batas,Pulau Pinang,+60 (0)4 574-8383,13200,+60,Malaysia,"Jalan Dato Hj Ahmad Badawi, Taman Seri Indah,, Kepala Batas, Pulau Pinang"
"['Street:  G 22 Jln Pandan 2/2 Taman Pandan Jaya', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  039282-0135', 'Zip code  55100', 'Country calling code  +60', 'Country  Malaysia']",G 22 Jln Pandan 2/2 Taman Pandan Jaya,Kuala Lumpur,Wilayah Persekutuan,039282-0135,55100,+60,Malaysia,"G 22 Jln Pandan 2/2 Taman Pandan Jaya, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  No. 41 A Psn Tokong', 'City:  Ipoh', 'State/province/area:    Perak', 'Phone number  605-2532128', 'Zip code  31650', 'Country calling code  +60', 'Country  Malaysia']",No. 41 A Psn Tokong,City:  Ipoh,Perak,605-2532128,31650,+60,Malaysia,"No. 41 A Psn Tokong, City:  Ipoh, Perak"
"['Street:  17 Jalan 10/23E Taman Danau Kota Setapak', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  (603) 41496450', 'Zip code  53300', 'Country calling code  +60', 'Country  Malaysia']",17 Jalan 10/23E Taman Danau Kota Setapak,Kuala Lumpur,Wilayah Persekutuan,(603) 41496450,53300,+60,Malaysia,"17 Jalan 10/23E Taman Danau Kota Setapak, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  Blok H Pangsapuri Tmn Tunku Bukit Tunku', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  036201-6329', 'Zip code  50480', 'Country calling code  +60', 'Country  Malaysia']",Blok H Pangsapuri Tmn Tunku Bukit Tunku,Kuala Lumpur,Wilayah Persekutuan,036201-6329,50480,+60,Malaysia,"Blok H Pangsapuri Tmn Tunku Bukit Tunku, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  G Sungai Wang Plaza Jln Sultan Ismail', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  032148-8535', 'Zip code  50250', 'Country calling code  +60', 'Country  Malaysia']",G Sungai Wang Plaza Jln Sultan Ismail,Kuala Lumpur,Wilayah Persekutuan,032148-8535,50250,+60,Malaysia,"G Sungai Wang Plaza Jln Sultan Ismail, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  18 HLA RAPAT BARU 23 KAW INDUSTRI RINGAN KINTA JAYA', 'City:   Ipoh', 'State/province/area:    Perak', 'Phone number  05313-5975', 'Zip code  31350', 'Country calling code  +60', 'Country  Malaysia']",18 HLA RAPAT BARU 23 KAW INDUSTRI RINGAN KINTA JAYA,Ipoh,Perak,05313-5975,31350,+60,Malaysia,"18 HLA RAPAT BARU 23 KAW INDUSTRI RINGAN KINTA JAYA, Ipoh, Perak"
"['Street:  7 Jln P2/18 Bandar Teknologi Semenyih Semenyih Semenyih', 'City:   Kajang', 'State/province/area:    Selangor', 'Phone number  038724-2937', 'Zip code  43500', 'Country calling code  +60', 'Country  Malaysia']",7 Jln P2/18 Bandar Teknologi Semenyih Semenyih Semenyih,Kajang,Selangor,038724-2937,43500,+60,Malaysia,"7 Jln P2/18 Bandar Teknologi Semenyih Semenyih Semenyih, Kajang, Selangor"
"['Street:  No. 28 2Nd Floor Blok B Luh Pulau Pinang New City Centre', 'City:   Klang', 'State/province/area:    Selangor', 'Phone number  393345-1039', 'Zip code  41050', 'Country calling code  +60', 'Country  Malaysia']",No. 28 2Nd Floor Blok B Luh Pulau Pinang New City Centre,Klang,Selangor,393345-1039,41050,+60,Malaysia,"No. 28 2Nd Floor Blok B Luh Pulau Pinang New City Centre, Klang, Selangor"
