Address,Place,City,State,Phone,Zip,CountryCode,Country,Location
"['Street:  21-2 Jalan SS23/15 Taman SEA', 'City:   Petaling Jaya', 'State/province/area:    Selangor', 'Phone number  78044647', 'Zip code  47400', 'Country calling code  +60', 'Country  Malaysia']",21-2 Jalan SS23/15 Taman SEA,Petaling Jaya,Selangor,78044647,47400,+60,Malaysia,"21-2 Jalan SS23/15 Taman SEA, Petaling Jaya, Selangor"
"['Street:  9 Jln Pjs 10/24 Taman Sri Subang Petaling Jaya', 'City:   Petaling Jaya', 'State/province/area:    Selangor', 'Phone number  035636-9358', 'Zip code  46000', 'Country calling code  +60', 'Country  Malaysia']",9 Jln Pjs 10/24 Taman Sri Subang Petaling Jaya,Petaling Jaya,Selangor,035636-9358,46000,+60,Malaysia,"9 Jln Pjs 10/24 Taman Sri Subang Petaling Jaya, Petaling Jaya, Selangor"
"['Street:  G Ibu Pejabat Risda Jln Ampang Batu 4 1/2', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  034252-1016', 'Zip code  50734', 'Country calling code  +60', 'Country  Malaysia']",G Ibu Pejabat Risda Jln Ampang Batu 4 1/2,Kuala Lumpur,Wilayah Persekutuan,034252-1016,50734,+60,Malaysia,"G Ibu Pejabat Risda Jln Ampang Batu 4 1/2, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  33 10th Floor Wisma Warisan (Heritage Hse) Jalan Yap Ah Shak', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  (603) 26943794', 'Zip code  50300', 'Country calling code  +60', 'Country  Malaysia']",33 10th Floor Wisma Warisan (Heritage Hse) Jalan Yap Ah Shak,Kuala Lumpur,Wilayah Persekutuan,(603) 26943794,50300,+60,Malaysia,"33 10th Floor Wisma Warisan (Heritage Hse) Jalan Yap Ah Shak, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  2 Jln Dataran 3/4 Taman Kempas', 'City:   Johor Bahru', 'State/province/area:    Johor', 'Phone number  07235-6152', 'Zip code  81200', 'Country calling code  +60', 'Country  Malaysia']",2 Jln Dataran 3/4 Taman Kempas,Johor Bahru,Johor,07235-6152,81200,+60,Malaysia,"2 Jln Dataran 3/4 Taman Kempas, Johor Bahru, Johor"
"['Street:  Blok 4, Pusat Daerah Seksyen 6,', 'City:   Shah Alam', 'State/province/area:    Selangor', 'Phone number  +60 (0)6 679-5025', 'Zip code  40000', 'Country calling code  +60', 'Country  Malaysia']","Blok 4, Pusat Daerah Seksyen 6,",Shah Alam,Selangor,+60 (0)6 679-5025,40000,+60,Malaysia,"Blok 4, Pusat Daerah Seksyen 6,, Shah Alam, Selangor"
"['Street:  30 Jln Emas Sd 5/1 Taman Sri Damansara', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  036106-8610', 'Zip code  52100', 'Country calling code  +60', 'Country  Malaysia']",30 Jln Emas Sd 5/1 Taman Sri Damansara,Kuala Lumpur,Wilayah Persekutuan,036106-8610,52100,+60,Malaysia,"30 Jln Emas Sd 5/1 Taman Sri Damansara, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  Pt 0, Jalan Tambun,', 'City:   Ipoh', 'State/province/area:    Perak', 'Phone number  05-5453483', 'Zip code  12605', 'Country calling code  +60', 'Country  Malaysia']","Pt 0, Jalan Tambun,",Ipoh,Perak,05-5453483,12605,+60,Malaysia,"Pt 0, Jalan Tambun,, Ipoh, Perak"
"['Street:  Jalan SS7/17, Kelana Jaya,', 'City:   Petaling Jaya', 'State/province/area:    Selangor', 'Phone number  03-7880-6829', 'Zip code  47301', 'Country calling code  +60', 'Country  Malaysia']","Jalan SS7/17, Kelana Jaya,",Petaling Jaya,Selangor,03-7880-6829,47301,+60,Malaysia,"Jalan SS7/17, Kelana Jaya,, Petaling Jaya, Selangor"
"['Street:  43A Jln Central TimurSarawak', 'City:   Kuching', 'State/province/area:    Sarawak', 'Phone number  08851-2385', 'Zip code  93300', 'Country calling code  +60', 'Country  Malaysia']",43A Jln Central TimurSarawak,Kuching,Sarawak,08851-2385,93300,+60,Malaysia,"43A Jln Central TimurSarawak, Kuching, Sarawak"
"['Street:  61A Jln Raja Bot', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  032691-5638', 'Zip code  50300', 'Country calling code  +60', 'Country  Malaysia']",61A Jln Raja Bot,Kuala Lumpur,Wilayah Persekutuan,032691-5638,50300,+60,Malaysia,"61A Jln Raja Bot, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  Phase 1, Lok Kawi,', 'City:   Papar', 'State/province/area:    Sabah', 'Phone number  +60 (0)88 754563', 'Zip code  89600', 'Country calling code  +60', 'Country  Malaysia']","Phase 1, Lok Kawi,",Papar,Sabah,+60 (0)88 754563,89600,+60,Malaysia,"Phase 1, Lok Kawi,, Papar, Sabah"
"['Street:  19 Jln Ss19/6 Ss19 Petaling Jaya', 'City:   Petaling Jaya', 'State/province/area:    Selangor', 'Phone number  035635-2444', 'Zip code  47500', 'Country calling code  +60', 'Country  Malaysia']",19 Jln Ss19/6 Ss19 Petaling Jaya,Petaling Jaya,Selangor,035635-2444,47500,+60,Malaysia,"19 Jln Ss19/6 Ss19 Petaling Jaya, Petaling Jaya, Selangor"
"['Street:  168-G-%', 'City:  Jalan Patani', 'State/province/area:    Taman Sri Patani', 'Phone number  04-282-5975', 'Zip code  10150', 'Country calling code  +60', 'Country  Malaysia']",168-G-%,City:  Jalan Patani,Taman Sri Patani,04-282-5975,10150,+60,Malaysia,"168-G-%, City:  Jalan Patani, Taman Sri Patani"
"['Street:  Lot 2587 Jalan Seruling 59, Taman Klang Jaya,', 'City:   Klang', 'State/province/area:    Selangor', 'Phone number  +60 (0)3 3323-9793', 'Zip code  41200', 'Country calling code  +60', 'Country  Malaysia']","Lot 2587 Jalan Seruling 59, Taman Klang Jaya,",Klang,Selangor,+60 (0)3 3323-9793,41200,+60,Malaysia,"Lot 2587 Jalan Seruling 59, Taman Klang Jaya,, Klang, Selangor"
"['Street:  253 Bukit B Jalan 48A Kampung Cheras Baru', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  (603) 42949029', 'Zip code  56100', 'Country calling code  +60', 'Country  Malaysia']",253 Bukit B Jalan 48A Kampung Cheras Baru,Kuala Lumpur,Wilayah Persekutuan,(603) 42949029,56100,+60,Malaysia,"253 Bukit B Jalan 48A Kampung Cheras Baru, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  12 Menara Promet Jln Sultan Ismail', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  032144-4050', 'Zip code  50250', 'Country calling code  +60', 'Country  Malaysia']",12 Menara Promet Jln Sultan Ismail,Kuala Lumpur,Wilayah Persekutuan,032144-4050,50250,+60,Malaysia,"12 Menara Promet Jln Sultan Ismail, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  308-B 2Nd Floor Melawati Square Jln Negara Taman Melawati Hulu', 'City:   Klang', 'State/province/area:    Selangor', 'Phone number  034106-6575', 'Zip code  53100', 'Country calling code  +60', 'Country  Malaysia']",308-B 2Nd Floor Melawati Square Jln Negara Taman Melawati Hulu,Klang,Selangor,034106-6575,53100,+60,Malaysia,"308-B 2Nd Floor Melawati Square Jln Negara Taman Melawati Hulu, Klang, Selangor"
"['Street:  Lot 2-56 & 57 2nd Floor Low Yat Plaza', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  (603) 21458810', 'Zip code  55100', 'Country calling code  +60', 'Country  Malaysia']",Lot 2-56 & 57 2nd Floor Low Yat Plaza,Kuala Lumpur,Wilayah Persekutuan,(603) 21458810,55100,+60,Malaysia,"Lot 2-56 & 57 2nd Floor Low Yat Plaza, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  G 470 Jln Wilayah Persekutuan', 'City:   Ipoh', 'State/province/area:    Perak', 'Phone number  034043-1799', 'Zip code  51200', 'Country calling code  +60', 'Country  Malaysia']",G 470 Jln Wilayah Persekutuan,Ipoh,Perak,034043-1799,51200,+60,Malaysia,"G 470 Jln Wilayah Persekutuan, Ipoh, Perak"
"['Street:  No. 1 Jalan 1/57B,Off Jalan Segambut Atas,', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  62528867', 'Zip code  51200', 'Country calling code  +60', 'Country  Malaysia']","No. 1 Jalan 1/57B,Off Jalan Segambut Atas,",Kuala Lumpur,Wilayah Persekutuan,62528867,51200,+60,Malaysia,"No. 1 Jalan 1/57B,Off Jalan Segambut Atas,, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  3 Wisma Tek Lee 38 Jln Tun Perak', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  032070-7018', 'Zip code  50050', 'Country calling code  +60', 'Country  Malaysia']",3 Wisma Tek Lee 38 Jln Tun Perak,Kuala Lumpur,Wilayah Persekutuan,032070-7018,50050,+60,Malaysia,"3 Wisma Tek Lee 38 Jln Tun Perak, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  Lot 994, Jalan Sultan Mohamad,', 'City:   Kuala Terengganu', 'State/province/area:    Terengganu', 'Phone number  +60 (0)9 858-3344', 'Zip code  21100', 'Country calling code  +60', 'Country  Malaysia']","Lot 994, Jalan Sultan Mohamad,",Kuala Terengganu,Terengganu,+60 (0)9 858-3344,21100,+60,Malaysia,"Lot 994, Jalan Sultan Mohamad,, Kuala Terengganu, Terengganu"
"['Street:  56 JLN BATU KAWA BATU 4 1/2 Kuching', 'City:   Kuching', 'State/province/area:    Sarawak', 'Phone number  08268-2826', 'Zip code  93250', 'Country calling code  +60', 'Country  Malaysia']",56 JLN BATU KAWA BATU 4 1/2 Kuching,Kuching,Sarawak,08268-2826,93250,+60,Malaysia,"56 JLN BATU KAWA BATU 4 1/2 Kuching, Kuching, Sarawak"
"['Street:  36, Jalan Padungan,', 'City:   Kuching', 'State/province/area:    Sarawak', 'Phone number  6082242325', 'Zip code  93100', 'Country calling code  +60', 'Country  Malaysia']","36, Jalan Padungan,",Kuching,Sarawak,6082242325,93100,+60,Malaysia,"36, Jalan Padungan,, Kuching, Sarawak"
"['Street:  T3 3rd Floor Starhil Shopping Centre Jalan Bukit Bintang', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  (603) 21421282', 'Zip code  55100', 'Country calling code  +60', 'Country  Malaysia']",T3 3rd Floor Starhil Shopping Centre Jalan Bukit Bintang,Kuala Lumpur,Wilayah Persekutuan,(603) 21421282,55100,+60,Malaysia,"T3 3rd Floor Starhil Shopping Centre Jalan Bukit Bintang, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  42 Lrg Raja Bot', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  032698-2991', 'Zip code  50300', 'Country calling code  +60', 'Country  Malaysia']",42 Lrg Raja Bot,Kuala Lumpur,Wilayah Persekutuan,032698-2991,50300,+60,Malaysia,"42 Lrg Raja Bot, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  69 Jln Ss1/19 Ss1 Petaling Jaya', 'City:   Petaling Jaya', 'State/province/area:    Selangor', 'Phone number  037873-0183', 'Zip code  47300', 'Country calling code  +60', 'Country  Malaysia']",69 Jln Ss1/19 Ss1 Petaling Jaya,Petaling Jaya,Selangor,037873-0183,47300,+60,Malaysia,"69 Jln Ss1/19 Ss1 Petaling Jaya, Petaling Jaya, Selangor"
"['Street:  4163 Jln Kampung Benggali Kampung Benggali Butterworth', 'City:   Butterworth', 'State/province/area:    Pulau Pinang', 'Phone number  6043235399', 'Zip code  12200', 'Country calling code  +60', 'Country  Malaysia']",4163 Jln Kampung Benggali Kampung Benggali Butterworth,Butterworth,Pulau Pinang,6043235399,12200,+60,Malaysia,"4163 Jln Kampung Benggali Kampung Benggali Butterworth, Butterworth, Pulau Pinang"
"['Street:  22 Psn Zaaba Taman Tun Dr Ismail', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  037726-8896', 'Zip code  60000', 'Country calling code  +60', 'Country  Malaysia']",22 Psn Zaaba Taman Tun Dr Ismail,Kuala Lumpur,Wilayah Persekutuan,037726-8896,60000,+60,Malaysia,"22 Psn Zaaba Taman Tun Dr Ismail, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  31 Jalan Seroja 39 Taman Jaya', 'City:   Johor Bahru', 'State/province/area:    Johor', 'Phone number  (607) 3578946', 'Zip code  81100', 'Country calling code  +60', 'Country  Malaysia']",31 Jalan Seroja 39 Taman Jaya,Johor Bahru,Johor,(607) 3578946,81100,+60,Malaysia,"31 Jalan Seroja 39 Taman Jaya, Johor Bahru, Johor"
"['Street:  Jalan Firma 2, Kawasan Perindustrian Tebrau,', 'City:   Johor Bahru', 'State/province/area:    Johor', 'Phone number  6073543598', 'Zip code  81100', 'Country calling code  +60', 'Country  Malaysia']","Jalan Firma 2, Kawasan Perindustrian Tebrau,",Johor Bahru,Johor,6073543598,81100,+60,Malaysia,"Jalan Firma 2, Kawasan Perindustrian Tebrau,, Johor Bahru, Johor"
"['Street:  66A Jln TabuanSarawak', 'City:   Kuching', 'State/province/area:    Sarawak', 'Phone number  08241-3367', 'Zip code  93100', 'Country calling code  +60', 'Country  Malaysia']",66A Jln TabuanSarawak,Kuching,Sarawak,08241-3367,93100,+60,Malaysia,"66A Jln TabuanSarawak, Kuching, Sarawak"
"['Street:  Taman Sari, Jalan Hospital,', 'City:   Kota Bharu', 'State/province/area:    Kelantan', 'Phone number  +60 (0)9 743-7892', 'Zip code  15200', 'Country calling code  +60', 'Country  Malaysia']","Taman Sari, Jalan Hospital,",Kota Bharu,Kelantan,+60 (0)9 743-7892,15200,+60,Malaysia,"Taman Sari, Jalan Hospital,, Kota Bharu, Kelantan"
"['Street:  G 1D Jln Chow Kit', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  034044-4881', 'Zip code  50350', 'Country calling code  +60', 'Country  Malaysia']",G 1D Jln Chow Kit,Kuala Lumpur,Wilayah Persekutuan,034044-4881,50350,+60,Malaysia,"G 1D Jln Chow Kit, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  9 Jalan AU5D/3A Taman Lembah Keramat', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  (603) 41438224', 'Zip code  54200', 'Country calling code  +60', 'Country  Malaysia']",9 Jalan AU5D/3A Taman Lembah Keramat,Kuala Lumpur,Wilayah Persekutuan,(603) 41438224,54200,+60,Malaysia,"9 Jalan AU5D/3A Taman Lembah Keramat, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  1903 1 Jln Daya Taman Riverview Kuching', 'City:   Kuching', 'State/province/area:    Sarawak', 'Phone number  08248-3952', 'Zip code  93450', 'Country calling code  +60', 'Country  Malaysia']",1903 1 Jln Daya Taman Riverview Kuching,Kuching,Sarawak,08248-3952,93450,+60,Malaysia,"1903 1 Jln Daya Taman Riverview Kuching, Kuching, Sarawak"
"['Street:  12A Lorong Batu Nilam 3A Bandar Bukit Tinggi', 'City:   Klang', 'State/province/area:    Selangor', 'Phone number  (603) 33236860', 'Zip code  41200', 'Country calling code  +60', 'Country  Malaysia']",12A Lorong Batu Nilam 3A Bandar Bukit Tinggi,Klang,Selangor,(603) 33236860,41200,+60,Malaysia,"12A Lorong Batu Nilam 3A Bandar Bukit Tinggi, Klang, Selangor"
"['Street:  58 Jln Wong Ah Fook', 'City:   Johor Bahru', 'State/province/area:    Johor', 'Phone number  07221-6288', 'Zip code  80000', 'Country calling code  +60', 'Country  Malaysia']",58 Jln Wong Ah Fook,Johor Bahru,Johor,07221-6288,80000,+60,Malaysia,"58 Jln Wong Ah Fook, Johor Bahru, Johor"
"['Street:  Hotel Centre Point Jln Central Sibu', 'City:   Sibu', 'State/province/area:    Sarawak', 'Phone number  6084320932', 'Zip code  96000', 'Country calling code  +60', 'Country  Malaysia']",Hotel Centre Point Jln Central Sibu,Sibu,Sarawak,6084320932,96000,+60,Malaysia,"Hotel Centre Point Jln Central Sibu, Sibu, Sarawak"
"['Street:  Lot 40-48 Pusat Mas Batu 1 Kelibang Kuah', 'City:   Langkawi', 'State/province/area:    Kedah', 'Phone number  6049660721', 'Zip code  07000', 'Country calling code  +60', 'Country  Malaysia']",Lot 40-48 Pusat Mas Batu 1 Kelibang Kuah,Langkawi,Kedah,6049660721,07000,+60,Malaysia,"Lot 40-48 Pusat Mas Batu 1 Kelibang Kuah, Langkawi, Kedah"
"['Street:  Lot 5 08 5th Floor Wisma Cosway Jalan Raja Chulan', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  (603) 20726753', 'Zip code  50200', 'Country calling code  +60', 'Country  Malaysia']",Lot 5 08 5th Floor Wisma Cosway Jalan Raja Chulan,Kuala Lumpur,Wilayah Persekutuan,(603) 20726753,50200,+60,Malaysia,"Lot 5 08 5th Floor Wisma Cosway Jalan Raja Chulan, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  36 Menara Lion 165 Jln Ampang', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  032162-9022', 'Zip code  50450', 'Country calling code  +60', 'Country  Malaysia']",36 Menara Lion 165 Jln Ampang,Kuala Lumpur,Wilayah Persekutuan,032162-9022,50450,+60,Malaysia,"36 Menara Lion 165 Jln Ampang, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  8258 Ground Floor Jalan Pending Lee Chong Lin Industrial Estate', 'City:   Kuching', 'State/province/area:    Sarawak', 'Phone number  (608) 2333312', 'Zip code  93450', 'Country calling code  +60', 'Country  Malaysia']",8258 Ground Floor Jalan Pending Lee Chong Lin Industrial Estate,Kuching,Sarawak,(608) 2333312,93450,+60,Malaysia,"8258 Ground Floor Jalan Pending Lee Chong Lin Industrial Estate, Kuching, Sarawak"
"['Street:  52 Jln 6/21D Medan Idaman', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  034023-9694', 'Zip code  53000', 'Country calling code  +60', 'Country  Malaysia']",52 Jln 6/21D Medan Idaman,Kuala Lumpur,Wilayah Persekutuan,034023-9694,53000,+60,Malaysia,"52 Jln 6/21D Medan Idaman, Kuala Lumpur, Wilayah Persekutuan"
