Address,Place,City,State,Phone,Zip,CountryCode,Country,Location
"['Street:  No. 151 & 149 Jalan Sultan Abdul Samad Brickfields', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  032274-2510', 'Zip code  50470', 'Country calling code  +60', 'Country  Malaysia']",No. 151 & 149 Jalan Sultan Abdul Samad Brickfields,Kuala Lumpur,Wilayah Persekutuan,032274-2510,50470,+60,Malaysia,"No. 151 & 149 Jalan Sultan Abdul Samad Brickfields, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  Kingfishers 6, Plaza Kingfisher,', 'City:   Kota Kinabalu', 'State/province/area:    Sabah', 'Phone number  +60 (0)82 425287', 'Zip code  88450', 'Country calling code  +60', 'Country  Malaysia']","Kingfishers 6, Plaza Kingfisher,",Kota Kinabalu,Sabah,+60 (0)82 425287,88450,+60,Malaysia,"Kingfishers 6, Plaza Kingfisher,, Kota Kinabalu, Sabah"
"['Street:  No. 2, Jalan Ss4b/1,', 'City:   Petaling Jaya', 'State/province/area:    Selangor', 'Phone number  +60 (0)6 651-5899', 'Zip code  47301', 'Country calling code  +60', 'Country  Malaysia']","No. 2, Jalan Ss4b/1,",Petaling Jaya,Selangor,+60 (0)6 651-5899,47301,+60,Malaysia,"No. 2, Jalan Ss4b/1,, Petaling Jaya, Selangor"
"['Street:  No. 5364 Jln 18/21 Seksyen 18', 'City:   Petaling Jaya', 'State/province/area:    Selangor', 'Phone number  037756-7656', 'Zip code  46000', 'Country calling code  +60', 'Country  Malaysia']",No. 5364 Jln 18/21 Seksyen 18,Petaling Jaya,Selangor,037756-7656,46000,+60,Malaysia,"No. 5364 Jln 18/21 Seksyen 18, Petaling Jaya, Selangor"
"[""Street:  138 Jalan Dato' Menteri"", 'City:   Johor Bahru', 'State/province/area:    Johor', 'Phone number  07223-5452', 'Zip code  80100', 'Country calling code  +60', 'Country  Malaysia']",138 Jalan Dato' Menteri,Johor Bahru,Johor,07223-5452,80100,+60,Malaysia,"138 Jalan Dato' Menteri, Johor Bahru, Johor"
"['Street:  Taman Bukit Maluri, Kepong,', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  03-6272-7957', 'Zip code  52100', 'Country calling code  +60', 'Country  Malaysia']","Taman Bukit Maluri, Kepong,",Kuala Lumpur,Wilayah Persekutuan,03-6272-7957,52100,+60,Malaysia,"Taman Bukit Maluri, Kepong,, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  52 Kampung Mampas Tanjung Negeri Sembilan', 'City:   Ipoh', 'State/province/area:    Perak', 'Phone number  (606) 4581291', 'Zip code  71500', 'Country calling code  +60', 'Country  Malaysia']",52 Kampung Mampas Tanjung Negeri Sembilan,Ipoh,Perak,(606) 4581291,71500,+60,Malaysia,"52 Kampung Mampas Tanjung Negeri Sembilan, Ipoh, Perak"
"['Street:  Jalan Palong Taman Miharja, Cheras,', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  182068251', 'Zip code  55200', 'Country calling code  +60', 'Country  Malaysia']","Jalan Palong Taman Miharja, Cheras,",Kuala Lumpur,Wilayah Persekutuan,182068251,55200,+60,Malaysia,"Jalan Palong Taman Miharja, Cheras,, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  Jalan Ampang Putra, Taman Ampang Hilir,', 'City:   Ampang', 'State/province/area:    Selangor', 'Phone number  +60 (0)3 4270-1011', 'Zip code  68000', 'Country calling code  +60', 'Country  Malaysia']","Jalan Ampang Putra, Taman Ampang Hilir,",Ampang,Selangor,+60 (0)3 4270-1011,68000,+60,Malaysia,"Jalan Ampang Putra, Taman Ampang Hilir,, Ampang, Selangor"
"['Street:  12 Jln Sri Damak 18 Kaw 2 Taman Sri Andalas', 'City:   Klang', 'State/province/area:    Selangor', 'Phone number  033372-3094', 'Zip code  41200', 'Country calling code  +60', 'Country  Malaysia']",12 Jln Sri Damak 18 Kaw 2 Taman Sri Andalas,Klang,Selangor,033372-3094,41200,+60,Malaysia,"12 Jln Sri Damak 18 Kaw 2 Taman Sri Andalas, Klang, Selangor"
"['Street:  No. 361', 'City:   Ground Floor', 'State/province/area:    Bandar Sabindo', 'Phone number  089-77-3374', 'Zip code  91000', 'Country calling code  +60', 'Country  Malaysia']",No. 361,Ground Floor,Bandar Sabindo,089-77-3374,91000,+60,Malaysia,"No. 361, Ground Floor, Bandar Sabindo"
"['Street:  47 Jalan Sultan Yussof', 'City:   Ipoh', 'State/province/area:    Perak', 'Phone number  (605) 2436849', 'Zip code  30000', 'Country calling code  +60', 'Country  Malaysia']",47 Jalan Sultan Yussof,Ipoh,Perak,(605) 2436849,30000,+60,Malaysia,"47 Jalan Sultan Yussof, Ipoh, Perak"
"['Street:  17B Jalan Dewani', 'City:   Johor Bahru', 'State/province/area:    Johor', 'Phone number  (607) 3316662', 'Zip code  81100', 'Country calling code  +60', 'Country  Malaysia']",17B Jalan Dewani,Johor Bahru,Johor,(607) 3316662,81100,+60,Malaysia,"17B Jalan Dewani, Johor Bahru, Johor"
"['Street:  11St Floor Uoa Centre Office Block Jln Pinang', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  032164-3096', 'Zip code  50450', 'Country calling code  +60', 'Country  Malaysia']",11St Floor Uoa Centre Office Block Jln Pinang,Kuala Lumpur,Wilayah Persekutuan,032164-3096,50450,+60,Malaysia,"11St Floor Uoa Centre Office Block Jln Pinang, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  Ktld, Jalan Haji Taha,', 'City:   Kuching', 'State/province/area:    Sarawak', 'Phone number  6082253254', 'Zip code  93400', 'Country calling code  +60', 'Country  Malaysia']","Ktld, Jalan Haji Taha,",Kuching,Sarawak,6082253254,93400,+60,Malaysia,"Ktld, Jalan Haji Taha,, Kuching, Sarawak"
"['Street:  No. 9, Jalan PJS 8/9,', 'City:   Petaling Jaya', 'State/province/area:    Selangor', 'Phone number  03-7877-1738', 'Zip code  46150', 'Country calling code  +60', 'Country  Malaysia']","No. 9, Jalan PJS 8/9,",Petaling Jaya,Selangor,03-7877-1738,46150,+60,Malaysia,"No. 9, Jalan PJS 8/9,, Petaling Jaya, Selangor"
"['Street:  No. 34 B Jln Ss20/10 Ss20', 'City:   Petaling Jaya', 'State/province/area:    Selangor', 'Phone number  037722-1952', 'Zip code  47400', 'Country calling code  +60', 'Country  Malaysia']",No. 34 B Jln Ss20/10 Ss20,Petaling Jaya,Selangor,037722-1952,47400,+60,Malaysia,"No. 34 B Jln Ss20/10 Ss20, Petaling Jaya, Selangor"
"['Street:  jalan ampang', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  603 21619162', 'Zip code  50450', 'Country calling code  +60', 'Country  Malaysia']",jalan ampang,Kuala Lumpur,Wilayah Persekutuan,603 21619162,50450,+60,Malaysia,"jalan ampang, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  1777', 'City:   Jalan Kuching', 'State/province/area:    Taman Tunku', 'Phone number  085-61-6363', 'Zip code  98000', 'Country calling code  +60', 'Country  Malaysia']",1777,Jalan Kuching,Taman Tunku,085-61-6363,98000,+60,Malaysia,"1777, Jalan Kuching, Taman Tunku"
"['Street:  429 Jln Kenanga Taman Bukit Chedang Malay', 'City:   Seremban', 'State/province/area:    Negeri Sembilan', 'Phone number  06765-3478', 'Zip code  70300', 'Country calling code  +60', 'Country  Malaysia']",429 Jln Kenanga Taman Bukit Chedang Malay,Seremban,Negeri Sembilan,06765-3478,70300,+60,Malaysia,"429 Jln Kenanga Taman Bukit Chedang Malay, Seremban, Negeri Sembilan"
"['Street:  Taman Munshi Ibrahim, Tampoi,', 'City:   Johor Bahru', 'State/province/area:    Johor', 'Phone number  6072388887', 'Zip code  81200', 'Country calling code  +60', 'Country  Malaysia']","Taman Munshi Ibrahim, Tampoi,",Johor Bahru,Johor,6072388887,81200,+60,Malaysia,"Taman Munshi Ibrahim, Tampoi,, Johor Bahru, Johor"
"['Street:  1 Jln Bakawali 11 Taman Jaya', 'City:   Johor Bahru', 'State/province/area:    Johor', 'Phone number  07354-7941', 'Zip code  81100', 'Country calling code  +60', 'Country  Malaysia']",1 Jln Bakawali 11 Taman Jaya,Johor Bahru,Johor,07354-7941,81100,+60,Malaysia,"1 Jln Bakawali 11 Taman Jaya, Johor Bahru, Johor"
"['Street:  Batu 3/4 A-14-15 Pokok Asam Kuah', 'City:   Langkawi', 'State/province/area:    Kedah', 'Phone number  6049666892', 'Zip code  07000', 'Country calling code  +60', 'Country  Malaysia']",Batu 3/4 A-14-15 Pokok Asam Kuah,Langkawi,Kedah,6049666892,07000,+60,Malaysia,"Batu 3/4 A-14-15 Pokok Asam Kuah, Langkawi, Kedah"
"['Street:  Suite 6 & 7, Tingkat 9, P.O. Box 17', 'City:   Kompleks Teruntum', 'State/province/area:    Jalan Mahkota', 'Phone number  09-517-1638', 'Zip code  25000', 'Country calling code  +60', 'Country  Malaysia']","Suite 6 & 7, Tingkat 9, P.O. Box 17",Kompleks Teruntum,Jalan Mahkota,09-517-1638,25000,+60,Malaysia,"Suite 6 & 7, Tingkat 9, P.O. Box 17, Kompleks Teruntum, Jalan Mahkota"
"['Street:  69F Bt Lemon', 'City:   Seremban', 'State/province/area:    Negeri Sembilan', 'Phone number  06761-5235', 'Zip code  70000', 'Country calling code  +60', 'Country  Malaysia']",69F Bt Lemon,Seremban,Negeri Sembilan,06761-5235,70000,+60,Malaysia,"69F Bt Lemon, Seremban, Negeri Sembilan"
"['Street:  18 Jalan Bagan Baru Satu Off Jalan Heng Choon Hian', 'City:  Butterworth', 'State/province/area:    Penang', 'Phone number  604-3310124', 'Zip code  12100', 'Country calling code  +60', 'Country  Malaysia']",18 Jalan Bagan Baru Satu Off Jalan Heng Choon Hian,City:  Butterworth,Penang,604-3310124,12100,+60,Malaysia,"18 Jalan Bagan Baru Satu Off Jalan Heng Choon Hian, City:  Butterworth, Penang"
"['Street:  1 43 Jln 9/62A Bandar Menjalara', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  036272-8243', 'Zip code  52200', 'Country calling code  +60', 'Country  Malaysia']",1 43 Jln 9/62A Bandar Menjalara,Kuala Lumpur,Wilayah Persekutuan,036272-8243,52200,+60,Malaysia,"1 43 Jln 9/62A Bandar Menjalara, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  3rd Floor Pusat Perniagaan Intan Jalan Medan 2 Bandar Baru Medan', 'City:   Ipoh', 'State/province/area:    Perak', 'Phone number  (605) 5413813', 'Zip code  31400', 'Country calling code  +60', 'Country  Malaysia']",3rd Floor Pusat Perniagaan Intan Jalan Medan 2 Bandar Baru Medan,Ipoh,Perak,(605) 5413813,31400,+60,Malaysia,"3rd Floor Pusat Perniagaan Intan Jalan Medan 2 Bandar Baru Medan, Ipoh, Perak"
"['Street:  9 Jalan AU5D/3A Taman Lembah Keramat', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  (603) 41438298', 'Zip code  54200', 'Country calling code  +60', 'Country  Malaysia']",9 Jalan AU5D/3A Taman Lembah Keramat,Kuala Lumpur,Wilayah Persekutuan,(603) 41438298,54200,+60,Malaysia,"9 Jalan AU5D/3A Taman Lembah Keramat, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  3rd Mile, Road, Wilayah Persekutuan', 'City:   Ipoh', 'State/province/area:    Perak', 'Phone number  03-4043-6373', 'Zip code  51200', 'Country calling code  +60', 'Country  Malaysia']","3rd Mile, Road, Wilayah Persekutuan",Ipoh,Perak,03-4043-6373,51200,+60,Malaysia,"3rd Mile, Road, Wilayah Persekutuan, Ipoh, Perak"
"['Street:  Taman Perangsang, 7Th Mile Klang Road,', 'City:   Petaling Jaya', 'State/province/area:    Selangor', 'Phone number  +60 (0)3 7783-0972', 'Zip code  46000', 'Country calling code  +60', 'Country  Malaysia']","Taman Perangsang, 7Th Mile Klang Road,",Petaling Jaya,Selangor,+60 (0)3 7783-0972,46000,+60,Malaysia,"Taman Perangsang, 7Th Mile Klang Road,, Petaling Jaya, Selangor"
"['Street:  Jalan Pjs 7/13, Bandar Sunway,', 'City:   Petaling Jaya', 'State/province/area:    Selangor', 'Phone number  +60 (0)3 5634-1137', 'Zip code  46150', 'Country calling code  +60', 'Country  Malaysia']","Jalan Pjs 7/13, Bandar Sunway,",Petaling Jaya,Selangor,+60 (0)3 5634-1137,46150,+60,Malaysia,"Jalan Pjs 7/13, Bandar Sunway,, Petaling Jaya, Selangor"
"['Street:  34 Menara Tun Razak Jln Raja Laut', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  032693-3116', 'Zip code  50350', 'Country calling code  +60', 'Country  Malaysia']",34 Menara Tun Razak Jln Raja Laut,Kuala Lumpur,Wilayah Persekutuan,032693-3116,50350,+60,Malaysia,"34 Menara Tun Razak Jln Raja Laut, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  Taman Industri Mega, (Bandar Teknologi Kajang),', 'City:   Semenyih', 'State/province/area:    Selangor', 'Phone number  +60 (0)3 8723-0582', 'Zip code  43500', 'Country calling code  +60', 'Country  Malaysia']","Taman Industri Mega, (Bandar Teknologi Kajang),",Semenyih,Selangor,+60 (0)3 8723-0582,43500,+60,Malaysia,"Taman Industri Mega, (Bandar Teknologi Kajang),, Semenyih, Selangor"
"['Street:  22Nd Floor Wisma Denmark Jln Ampang', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  032032-2098', 'Zip code  50450', 'Country calling code  +60', 'Country  Malaysia']",22Nd Floor Wisma Denmark Jln Ampang,Kuala Lumpur,Wilayah Persekutuan,032032-2098,50450,+60,Malaysia,"22Nd Floor Wisma Denmark Jln Ampang, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  no 6 jalan bukit bayu indah', 'City:   Seri Kembangan', 'State/province/area:    Selangor', 'Phone number  019-3878178', 'Zip code  43200', 'Country calling code  +60', 'Country  Malaysia']",no 6 jalan bukit bayu indah,Seri Kembangan,Selangor,019-3878178,43200,+60,Malaysia,"no 6 jalan bukit bayu indah, Seri Kembangan, Selangor"
"['Street:  Lot 149 First Floor Kompleks Cambell Jalan Dang Wangi', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  032692-6440', 'Zip code  50100', 'Country calling code  +60', 'Country  Malaysia']",Lot 149 First Floor Kompleks Cambell Jalan Dang Wangi,Kuala Lumpur,Wilayah Persekutuan,032692-6440,50100,+60,Malaysia,"Lot 149 First Floor Kompleks Cambell Jalan Dang Wangi, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  Jalan Air Putih 4, Taman Megah Ria,', 'City:   Kuantan', 'State/province/area:    Pahang', 'Phone number  +60 (0)3 3122-9410', 'Zip code  25300', 'Country calling code  +60', 'Country  Malaysia']","Jalan Air Putih 4, Taman Megah Ria,",Kuantan,Pahang,+60 (0)3 3122-9410,25300,+60,Malaysia,"Jalan Air Putih 4, Taman Megah Ria,, Kuantan, Pahang"
"['Street:  91', 'City:  Jalan Pahang', 'State/province/area:    Taman Malaysia', 'Phone number  05-622-7066', 'Zip code  36000', 'Country calling code  +60', 'Country  Malaysia']",91,City:  Jalan Pahang,Taman Malaysia,05-622-7066,36000,+60,Malaysia,"91, City:  Jalan Pahang, Taman Malaysia"
"['Street:  2nd Floor, Jln Tembikai, Bukit Mertajam', 'City:   Bukit Mertajam', 'State/province/area:    Pulau Pinang', 'Phone number  04-4538 7176', 'Zip code  14000', 'Country calling code  +60', 'Country  Malaysia']","2nd Floor, Jln Tembikai, Bukit Mertajam",Bukit Mertajam,Pulau Pinang,04-4538 7176,14000,+60,Malaysia,"2nd Floor, Jln Tembikai, Bukit Mertajam, Bukit Mertajam, Pulau Pinang"
"['Street:  41 Jln Padi Ria Bandar Baru Uda', 'City:   Johor Bahru', 'State/province/area:    Johor', 'Phone number  07238-5126', 'Zip code  81200', 'Country calling code  +60', 'Country  Malaysia']",41 Jln Padi Ria Bandar Baru Uda,Johor Bahru,Johor,07238-5126,81200,+60,Malaysia,"41 Jln Padi Ria Bandar Baru Uda, Johor Bahru, Johor"
"['Street:  25 Lengkok Kledang Raya Taman Kledang Jaya', 'City:   Ipoh', 'State/province/area:    Perak', 'Phone number  05526-6513', 'Zip code  30100', 'Country calling code  +60', 'Country  Malaysia']",25 Lengkok Kledang Raya Taman Kledang Jaya,Ipoh,Perak,05526-6513,30100,+60,Malaysia,"25 Lengkok Kledang Raya Taman Kledang Jaya, Ipoh, Perak"
"['Street:  No 11, Jalan Bukit Kempas 4/1 Taman Bukit Kempas , Jhr', 'City:   Johor Bahru', 'State/province/area:    Johor', 'Phone number  017-6289905 (zi27', 'Zip code  81200', 'Country calling code  +60', 'Country  Malaysia']","No 11, Jalan Bukit Kempas 4/1 Taman Bukit Kempas , Jhr",Johor Bahru,Johor,017-6289905 (zi27,81200,+60,Malaysia,"No 11, Jalan Bukit Kempas 4/1 Taman Bukit Kempas , Jhr, Johor Bahru, Johor"
"['Street:  24 LRG GOPENG KAW 18', 'City:   Klang', 'State/province/area:    Selangor', 'Phone number  033343-4390', 'Zip code  41400', 'Country calling code  +60', 'Country  Malaysia']",24 LRG GOPENG KAW 18,Klang,Selangor,033343-4390,41400,+60,Malaysia,"24 LRG GOPENG KAW 18, Klang, Selangor"
"['Street:  No. 53 Jln Bandar Timah', 'City:   Ipoh', 'State/province/area:    Perak', 'Phone number  05253-2896', 'Zip code  30000', 'Country calling code  +60', 'Country  Malaysia']",No. 53 Jln Bandar Timah,Ipoh,Perak,05253-2896,30000,+60,Malaysia,"No. 53 Jln Bandar Timah, Ipoh, Perak"
"['Street:  G Blok B Jln Hulu Taman Al Ridhuan Hulu Ampang', 'City:   Klang', 'State/province/area:    Selangor', 'Phone number  034105-3959', 'Zip code  68000', 'Country calling code  +60', 'Country  Malaysia']",G Blok B Jln Hulu Taman Al Ridhuan Hulu Ampang,Klang,Selangor,034105-3959,68000,+60,Malaysia,"G Blok B Jln Hulu Taman Al Ridhuan Hulu Ampang, Klang, Selangor"
"['Street:  Cangkat Sungai Ara 2, Desa Ara,', 'City:   Bayan Lepas', 'State/province/area:    Pulau Pinang', 'Phone number  6046469859', 'Zip code  11900', 'Country calling code  +60', 'Country  Malaysia']","Cangkat Sungai Ara 2, Desa Ara,",Bayan Lepas,Pulau Pinang,6046469859,11900,+60,Malaysia,"Cangkat Sungai Ara 2, Desa Ara,, Bayan Lepas, Pulau Pinang"
"['Street:  14Th Floor Komplek Kewangan Jln Raja Chulan', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  032163-3338', 'Zip code  50200', 'Country calling code  +60', 'Country  Malaysia']",14Th Floor Komplek Kewangan Jln Raja Chulan,Kuala Lumpur,Wilayah Persekutuan,032163-3338,50200,+60,Malaysia,"14Th Floor Komplek Kewangan Jln Raja Chulan, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  The Summit Usj 1, Persiaran Kewajipan,', 'City:   Subang Jaya', 'State/province/area:    Selangor', 'Phone number  +60 (0)3 8024-4212', 'Zip code  47600', 'Country calling code  +60', 'Country  Malaysia']","The Summit Usj 1, Persiaran Kewajipan,",Subang Jaya,Selangor,+60 (0)3 8024-4212,47600,+60,Malaysia,"The Summit Usj 1, Persiaran Kewajipan,, Subang Jaya, Selangor"
"['Street:  Dataran Sunway, Kota Damansara,', 'City:   Petaling Jaya', 'State/province/area:    Selangor', 'Phone number  +60 (0)3 6140-9891', 'Zip code  47810', 'Country calling code  +60', 'Country  Malaysia']","Dataran Sunway, Kota Damansara,",Petaling Jaya,Selangor,+60 (0)3 6140-9891,47810,+60,Malaysia,"Dataran Sunway, Kota Damansara,, Petaling Jaya, Selangor"
"['Street:  36 Menara Lion 165 Jln Ampang', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  032175-1879', 'Zip code  50450', 'Country calling code  +60', 'Country  Malaysia']",36 Menara Lion 165 Jln Ampang,Kuala Lumpur,Wilayah Persekutuan,032175-1879,50450,+60,Malaysia,"36 Menara Lion 165 Jln Ampang, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  Blok D Pasar Awam Taman Dahlia', 'City:   Johor Bahru', 'State/province/area:    Johor', 'Phone number  07238-4518', 'Zip code  81200', 'Country calling code  +60', 'Country  Malaysia']",Blok D Pasar Awam Taman Dahlia,Johor Bahru,Johor,07238-4518,81200,+60,Malaysia,"Blok D Pasar Awam Taman Dahlia, Johor Bahru, Johor"
"['Street:  98A-D, Jalan Masjid India,', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  03-2692-6170', 'Zip code  50100', 'Country calling code  +60', 'Country  Malaysia']","98A-D, Jalan Masjid India,",Kuala Lumpur,Wilayah Persekutuan,03-2692-6170,50100,+60,Malaysia,"98A-D, Jalan Masjid India,, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  Pt Batu 4 1/2 Jalan Kebun Kampung Jawa', 'City:   Klang', 'State/province/area:    Selangor', 'Phone number  60351611246', 'Zip code  10930', 'Country calling code  +60', 'Country  Malaysia']",Pt Batu 4 1/2 Jalan Kebun Kampung Jawa,Klang,Selangor,60351611246,10930,+60,Malaysia,"Pt Batu 4 1/2 Jalan Kebun Kampung Jawa, Klang, Selangor"
"['Street:  Sungei Wang Plaza, , WP', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  649-2148 1849', 'Zip code  55100', 'Country calling code  +60', 'Country  Malaysia']","Sungei Wang Plaza, , WP",Kuala Lumpur,Wilayah Persekutuan,649-2148 1849,55100,+60,Malaysia,"Sungei Wang Plaza, , WP, Kuala Lumpur, Wilayah Persekutuan"
"['Street:  454/533 Jalan -Banting Batu 14 1/2 Jenjarom', 'City:   Klang', 'State/province/area:    Selangor', 'Phone number  (603) 31912555', 'Zip code  42600', 'Country calling code  +60', 'Country  Malaysia']",454/533 Jalan -Banting Batu 14 1/2 Jenjarom,Klang,Selangor,(603) 31912555,42600,+60,Malaysia,"454/533 Jalan -Banting Batu 14 1/2 Jenjarom, Klang, Selangor"
"['Street:  Lot 2986 Persiaran Raja Muda Musa', 'City:   Klang', 'State/province/area:    Selangor', 'Phone number  (603) 33771114', 'Zip code  41100', 'Country calling code  +60', 'Country  Malaysia']",Lot 2986 Persiaran Raja Muda Musa,Klang,Selangor,(603) 33771114,41100,+60,Malaysia,"Lot 2986 Persiaran Raja Muda Musa, Klang, Selangor"
"['Street:  51 Jln Persisiran Perling 1 Taman Perling', 'City:   Johor Bahru', 'State/province/area:    Johor', 'Phone number  07232-1318', 'Zip code  81200', 'Country calling code  +60', 'Country  Malaysia']",51 Jln Persisiran Perling 1 Taman Perling,Johor Bahru,Johor,07232-1318,81200,+60,Malaysia,"51 Jln Persisiran Perling 1 Taman Perling, Johor Bahru, Johor"
"['Street:  No. 702, A, Kuala Lumpur', 'City:   Kuala Lumpur', 'State/province/area:    Wilayah Persekutuan', 'Phone number  03-6252 7049', 'Zip code  51200', 'Country calling code  +60', 'Country  Malaysia']","No. 702, A, Kuala Lumpur",Kuala Lumpur,Wilayah Persekutuan,03-6252 7049,51200,+60,Malaysia,"No. 702, A, Kuala Lumpur, Kuala Lumpur, Wilayah Persekutuan"
